Table 130-06606 : Median monthly household income by household size;;;;;;;;;
 ;;;;;;;;;
 ;;Median monthly household income (1) (2);;;;;;;
;;HK$;;;;;;;
Household size (3);;1;2;3;4;5 and over;;;Overall
;;;;;;5;6 and over;Overall;
Year;Quarter;;;;;;;;
1985;;2,000;4,000;4,800;5,000;5,700;7,300;6,500;4,900
1986;;2,500;4,600;5,300;5,600;6,400;8,200;7,200;5,300
1987;;2,600;5,200;6,000;6,300;7,100;9,200;8,100;6,000
1988;;3,100;6,000;6,800;7,000;8,000;10,600;9,300;6,800
1989;;4,000;7,000;8,000;8,500;10,000;13,000;11,300;8,000
1990;;4,400;8,000;9,300;9,800;11,500;14,900;12,900;9,400
1991;;5,000;9,400;10,300;10,800;13,300;16,800;14,900;10,400
1992;;5,500;10,000;11,200;12,000;15,000;19,000;16,400;11,500
1993;;6,200;11,500;13,000;14,000;16,500;21,000;18,200;13,000
1994;;7,000;13,000;14,500;15,500;19,000;24,000;20,600;15,000
1995;;8,000;14,000;15,600;17,000;20,000;25,700;22,000;16,000
1996;;9,000;15,500;17,000;19,000;22,100;28,000;24,000;17,600
1997;;9,500;16,600;18,600;20,000;24,700;30,000;26,400;19,000
1998;;7,500;15,000;18,000;20,000;24,100;29,500;26,000;18,000
1999;;7,000;15,000;17,000;19,900;23,600;27,700;25,000;17,500
2000;;6,500;15,000;17,600;20,000;24,100;27,600;25,400;18,000
2001;;7,300;15,000;17,800;20,500;25,500;30,000;26,700;18,000
2002;;6,500;14,000;16,700;20,000;24,700;27,600;25,700;17,000
2003;;6,000;13,000;15,700;19,000;23,500;26,700;24,500;16,000
2004;;6,100;13,000;16,000;19,000;24,000;28,400;25,000;16,000
2005;;6,500;13,700;16,300;20,000;24,800;28,800;26,000;16,000
2006;;6,500;14,000;17,000;20,900;26,500;29,300;27,300;17,000
2007;;6,700;14,000;18,000;21,800;28,500;30,500;29,000;17,500
2008;;7,000;14,700;19,000;23,000;29,400;32,800;30,400;18,400
2009;;6,600;13,500;18,000;23,000;29,500;33,200;30,500;18,000
2010;;6,500;13,700;18,600;24,000;30,600;34,300;31,600;18,000
2011;;7,000;14,900;20,000;25,800;33,600;38,000;34,600;20,000
2012;;7,400;15,400;21,800;28,700;36,500;42,000;37,900;21,000
2013;;7,500;16,200;23,500;31,000;39,900;44,200;41,000;22,200
2014;;7,900;17,000;25,000;32,500;42,300;46,200;43,700;23,200
2015;;8,400;17,700;26,000;35,000;44,800;49,400;46,300;24,800
2016;;8,300;18,000;28,000;36,700;47,000;51,700;48,500;25,200
2017;;8,600;19,100;29,000;39,200;52,100;55,200;53,000;26,600
2018;;9,500;20,000;31,000;42,000;53,300;57,000;54,300;28,500
2019;;10,000;20,100;31,700;42,800;56,400;59,500;57,400;29,000
2020;;10,000;19,500;30,500;41,400;53,900;59,000;55,200;27,500
2021;;9,500;20,000;31,400;43,300;55,700;59,100;56,900;27,500
2022;;10,000;20,000;33,200;44,600;56,800;60,500;58,200;28,300
2023;;10,500;21,100;35,000;47,700;61,200;67,000;63,100;30,000
2024;;10,700;21,600;36,000;49,900;63,400;68,300;64,800;30,000
1985;Q1;2,000;4,000;4,900;5,300;5,900;7,700;6,800;5,000
;Q2;2,000;4,000;4,600;5,000;5,500;7,000;6,300;4,700
;Q3;2,000;4,000;4,600;5,000;5,700;7,200;6,500;4,800
;Q4;2,200;4,200;4,900;5,000;5,800;7,300;6,500;4,900
1986;Q1;2,300;4,500;5,200;5,700;6,500;8,300;7,300;5,300
;Q2;2,300;4,500;5,200;5,500;6,000;8,000;7,000;5,100
;Q3;2,500;4,700;5,300;5,600;6,500;8,300;7,300;5,300
;Q4;2,500;4,800;5,500;5,800;6,500;8,200;7,300;5,500
1987;Q1;2,600;5,200;6,000;6,400;7,000;9,100;8,000;6,000
;Q2;2,500;5,000;5,700;6,000;6,900;8,900;7,800;5,800
;Q3;2,700;5,200;6,000;6,200;7,300;9,100;8,200;6,000
;Q4;2,800;5,500;6,300;6,500;7,300;9,800;8,400;6,100
1988;Q1;3,000;5,600;6,500;7,100;8,000;10,300;9,000;6,600
;Q2;3,000;5,800;6,500;7,000;7,800;10,000;8,800;6,500
;Q3;3,300;6,300;7,000;7,000;8,300;10,800;9,500;7,000
;Q4;3,500;6,500;7,000;7,500;8,500;11,400;9,900;7,000
1989;Q1;3,800;7,000;8,100;8,500;9,900;12,900;11,300;8,000
;Q2;3,800;6,600;7,500;8,000;9,200;12,500;10,500;7,700
;Q3;4,000;7,300;8,000;8,500;10,000;12,700;11,200;8,100
;Q4;4,000;7,400;8,500;8,500;10,700;13,700;12,000;8,500
1990;Q1;4,000;8,000;9,900;10,000;11,500;15,400;13,300;9,500
;Q2;4,000;7,900;8,800;9,000;10,400;14,400;12,200;8,900
;Q3;4,500;8,300;9,400;9,600;11,500;14,400;12,800;9,400
;Q4;4,800;8,600;9,500;10,000;12,000;15,000;13,200;9,700
1991;Q1;5,000;9,500;10,800;11,000;14,000;17,000;15,200;10,500
;Q2;5,000;9,000;10,000;10,000;13,000;15,900;14,300;10,000
;Q3;5,000;9,200;10,100;10,800;13,000;16,800;14,500;10,300
;Q4;5,000;10,000;10,400;11,000;13,200;17,500;15,000;10,500
1992;Q1;5,500;10,000;12,000;12,500;15,500;19,300;17,000;12,000
;Q2;5,000;9,800;10,800;12,000;14,000;18,100;15,500;11,000
;Q3;5,500;10,000;11,000;12,000;14,500;19,000;16,000;11,200
;Q4;6,000;10,000;11,500;12,000;15,000;19,500;16,800;11,500
1993;Q1;6,000;12,000;13,500;14,500;17,200;21,900;18,800;13,500
;Q2;6,000;11,000;12,500;13,000;16,000;20,000;17,800;12,800
;Q3;6,500;11,500;13,000;14,000;16,600;20,500;18,000;13,000
;Q4;6,500;11,500;13,500;14,600;17,000;21,000;18,500;13,500
1994;Q1;6,800;13,000;15,000;15,500;18,900;24,200;21,000;15,000
;Q2;7,000;13,000;13,500;15,000;18,500;23,200;20,000;14,100
;Q3;7,000;13,000;14,600;15,500;19,000;23,500;20,500;15,000
;Q4;7,000;12,500;15,000;16,000;19,000;24,500;21,000;15,000
1995;Q1;7,500;15,000;17,000;18,500;21,100;28,000;23,600;17,000
;Q2;7,800;13,000;15,000;16,500;20,000;25,500;21,800;15,100
;Q3;8,000;13,400;15,500;16,500;20,000;25,600;21,500;15,600
;Q4;8,000;14,000;15,500;17,000;20,000;24,600;21,500;15,700
1996;Q1;8,500;16,000;18,000;19,800;23,000;28,600;24,800;18,000
;Q2;8,500;15,000;16,000;18,000;21,100;26,000;23,000;16,600
;Q3;9,000;15,000;16,500;18,600;21,800;27,500;24,000;17,300
;Q4;9,500;16,000;17,500;19,500;23,000;29,100;25,000;18,000
1997;Q1;10,000;17,100;19,900;21,000;26,000;30,800;27,600;20,000
;Q2;8,700;16,000;17,700;19,200;23,800;28,600;25,300;18,000
;Q3;9,700;16,500;18,500;20,000;24,300;29,500;26,000;19,000
;Q4;10,000;17,000;18,900;20,500;25,000;30,700;26,900;19,500
1998;Q1;8,000;16,000;19,700;21,500;26,000;31,400;28,000;19,700
;Q2;7,000;14,000;17,200;20,000;23,900;29,500;25,600;17,500
;Q3;7,700;14,600;17,800;20,000;24,000;29,700;25,500;17,800
;Q4;7,000;14,000;17,000;19,500;23,700;27,400;25,000;17,000
1999;Q1;7,000;15,000;18,000;20,000;24,800;28,700;26,000;18,000
;Q2;7,000;15,000;17,000;20,000;23,500;27,700;25,000;17,500
;Q3;7,000;15,000;17,000;19,000;23,000;26,700;24,000;17,000
;Q4;6,500;14,700;16,700;19,500;23,000;28,000;24,600;17,000
2000;Q1;6,200;15,700;18,600;20,500;24,500;30,000;26,000;18,700
;Q2;6,700;15,000;17,000;20,000;24,000;26,600;25,000;17,800
;Q3;7,000;14,300;17,500;20,000;24,500;26,200;25,000;18,000
