Household size,1,2,3,4,5,6,Overall
Year,,,,,,,
1985,2000,4000,4800,5000,5700,7300,4900
1986,2500,4600,5300,5600,6400,8200,5300
1987,2600,5200,6000,6300,7100,9200,6000
1988,3100,6000,6800,7000,8000,10600,6800
1989,4000,7000,8000,8500,10000,13000,8000
1990,4400,8000,9300,9800,11500,14900,9400
1991,5000,9400,10300,10800,13300,16800,10400
1992,5500,10000,11200,12000,15000,19000,11500
1993,6200,11500,13000,14000,16500,21000,13000
1994,7000,13000,14500,15500,19000,24000,15000
1995,8000,14000,15600,17000,20000,25700,16000
1996,9000,15500,17000,19000,22100,28000,17600
1997,9500,16600,18600,20000,24700,30000,19000
1998,7500,15000,18000,20000,24100,29500,18000
1999,7000,15000,17000,19900,23600,27700,17500
2000,6500,15000,17600,20000,24100,27600,18000
2001,7300,15000,17800,20500,25500,30000,18000
2002,6500,14000,16700,20000,24700,27600,17000
2003,6000,13000,15700,19000,23500,26700,16000
2004,6100,13000,16000,19000,24000,28400,16000
2005,6500,13700,16300,20000,24800,28800,16000
2006,6500,14000,17000,20900,26500,29300,17000
2007,6700,14000,18000,21800,28500,30500,17500
2008,7000,14700,19000,23000,29400,32800,18400
2009,6600,13500,18000,23000,29500,33200,18000
2010,6500,13700,18600,24000,30600,34300,18000
2011,7000,14900,20000,25800,33600,38000,20000
2012,7400,15400,21800,28700,36500,42000,21000
2013,7500,16200,23500,31000,39900,44200,22200
2014,7900,17000,25000,32500,42300,46200,23200
2015,8400,17700,26000,35000,44800,49400,24800
2016,8300,18000,28000,36700,47000,51700,25200
2017,8600,19100,29000,39200,52100,55200,26600
2018,9500,20000,31000,42000,53300,57000,28500
2019,10000,20100,31700,42800,56400,59500,29000
2020,10000,19500,30500,41400,53900,59000,27500
2021,9500,20000,31400,43300,55700,59100,27500
2022,10000,20000,33200,44600,56800,60500,28300
2023,10500,21100,35000,47700,61200,67000,30000
2024,10700,21600,36000,49900,63400,68300,30000
